SubjectEntity,ObjectEntity,relation
Jamal khashoggi,['consulate general of saudi arabia in istanbul'],PersonPlaceOfDeath
Abdul rehman malik,['islamabad'],PersonPlaceOfDeath
Tabaré vázquez,['montevideo'],PersonPlaceOfDeath
Merle haggard,['palo cedro'],PersonPlaceOfDeath
Ennio morricone,['rome'],PersonPlaceOfDeath
Aretha franklin,['detroit'],PersonPlaceOfDeath
Sarah harding,['manchester'],PersonPlaceOfDeath
Shyla stylez,['armstrong'],PersonPlaceOfDeath
Mourid barghouti,['amman'],PersonPlaceOfDeath
Kenny rogers,['sandy springs'],PersonPlaceOfDeath
Olavo de carvalho,['richmond'],PersonPlaceOfDeath
Edith gonzález,['huixquilucan'],PersonPlaceOfDeath
Peaches geldof,['wrotham'],PersonPlaceOfDeath
Meat loaf,['nashville'],PersonPlaceOfDeath
Caroline flack,['stoke newington'],PersonPlaceOfDeath
Maurane,['schaerbeek - schaarbeek'],PersonPlaceOfDeath
Dusty rhodes,['orlando'],PersonPlaceOfDeath
Sayaka kanda,['sapporo'],PersonPlaceOfDeath
Scott hall,['marietta'],PersonPlaceOfDeath
Rituparno ghosh,['kolkata'],PersonPlaceOfDeath
Chick corea,['tampa bay area'],PersonPlaceOfDeath
Thomas s. monson,['salt lake city'],PersonPlaceOfDeath
Harsh vardhan,"['new delhi', 'delhi']",PersonPlaceOfDeath
Bell hooks,['berea'],PersonPlaceOfDeath
Ken robinson,['london'],PersonPlaceOfDeath
Johnny isakson,['atlanta'],PersonPlaceOfDeath
Mf doom,['london'],PersonPlaceOfDeath
Michael k. williams,['united states of america'],PersonPlaceOfDeath
Michael k. williams,['new york city'],PersonPlaceOfDeath
Michael k. williams,['brooklyn'],PersonPlaceOfDeath
Ahmed patel,['gurugram'],PersonPlaceOfDeath
Verne troyer,['los angeles'],PersonPlaceOfDeath
Eduard punset,['barcelona'],PersonPlaceOfDeath
Chadwick boseman,['los angeles'],PersonPlaceOfDeath
"John dingell, jr.",['dearborn'],PersonPlaceOfDeath
Adam west,['los angeles'],PersonPlaceOfDeath
Michael hastings,['los angeles'],PersonPlaceOfDeath
José manuel de la sota,['santa maría department'],PersonPlaceOfDeath
Gregg allman,['richmond hill'],PersonPlaceOfDeath
Rachel caine,['united states of america'],PersonPlaceOfDeath
Rachel caine,['texas'],PersonPlaceOfDeath
Bekir coşkun,['ankara'],PersonPlaceOfDeath
