SubjectEntity,relation,ObjectEntity
Lina ben mhenni,PersonCauseOfDeath,"['kidney failure']"
Edith gonzález,PersonCauseOfDeath,"['cancer', 'ovarian cancer']"
Peaches geldof,PersonCauseOfDeath,"['opioid overdose', 'overdose']"
Meat loaf,PersonCauseOfDeath,"['covid-19', 'covid']"
Almudena grandes,PersonCauseOfDeath,"['cancer']"
Peter mayhew,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Dusty rhodes,PersonCauseOfDeath,"['cancer', 'stomach cancer']"
Fernando solanas,PersonCauseOfDeath,"['covid-19', 'covid']"
Hans rosling,PersonCauseOfDeath,"['pancreatic cancer', 'cancer']"
Jonah lomu,PersonCauseOfDeath,"['cardiac arrest']"
Jonah lomu,PersonCauseOfDeath,"['kidney failure']"
Jonah lomu,PersonCauseOfDeath,"['nephrotic syndrome']"
Ashley massaro,PersonCauseOfDeath,"['hanging']"
Eduard punset,PersonCauseOfDeath,"['cancer', 'lung cancer']"
Nipsey hussle,PersonCauseOfDeath,"['ballistic trauma', 'trauma']"
Chadwick boseman,PersonCauseOfDeath,"['colorectal cancer', 'cancer']"
Glenn fredly,PersonCauseOfDeath,"['meningitis']"
Prodigy,PersonCauseOfDeath,"['hematopoietic system diseases']"
"John dingell, jr.",PersonCauseOfDeath,"['cancer', 'prostate cancer']"
Adam west,PersonCauseOfDeath,"['leukemia']"
Davide astori,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Richard l. hanna,PersonCauseOfDeath,"['cancer']"
Marília mendonça,PersonCauseOfDeath,"['accident', 'aviation accident']"
André leon talley,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
André leon talley,PersonCauseOfDeath,"['covid-19', 'covid']"
Bekir coşkun,PersonCauseOfDeath,"['cancer', 'lung cancer']"
Chris kirubi,PersonCauseOfDeath,"['colorectal cancer', 'cancer']"
Alfredo lim,PersonCauseOfDeath,"['covid-19', 'covid']"
Juan gabriel,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Jack layton,PersonCauseOfDeath,"['cancer']"
Mike fitzpatrick,PersonCauseOfDeath,"['melanoma']"
Kō masaki,PersonCauseOfDeath,"['appendicitis']"
Kō masaki,PersonCauseOfDeath,"['peritonitis']"
Lorin maazel,PersonCauseOfDeath,"['pneumonia']"
Sushant singh rajput,PersonCauseOfDeath,"['asphyxia']"
David graeber,PersonCauseOfDeath,"['acute pancreatitis', 'pancreatitis']"
David graeber,PersonCauseOfDeath,"['internal bleeding']"
Jonathan sacks,PersonCauseOfDeath,"['cancer']"
Lorena rojas,PersonCauseOfDeath,"['liver cancer', 'cancer']"
Dmx,PersonCauseOfDeath,"['myocardial infarction', 'infarction']"
Rafael moreno valle,PersonCauseOfDeath,"['2018 puebla helicopter crash', 'crash']"
Axel kahn,PersonCauseOfDeath,"['cancer']"
