SubjectEntity,ObjectEntity,relation
River shannon,"['ireland', 'republic of ireland']",RiverBasinsCountry
Marañón river,['peru'],RiverBasinsCountry
Marañón river,['peru'],RiverBasinsCountry
Oise,['france'],RiverBasinsCountry
Oise,['belgium'],RiverBasinsCountry
Oise,['france'],RiverBasinsCountry
Isère,['france'],RiverBasinsCountry
Isère,['france'],RiverBasinsCountry
Rioni,['georgia'],RiverBasinsCountry
Rioni,['georgia'],RiverBasinsCountry
Red river,"['china', ""people's republic of china""]",RiverBasinsCountry
Red river,['vietnam'],RiverBasinsCountry
Red river,"['china', ""people's republic of china""]",RiverBasinsCountry
Þjórsá,['iceland'],RiverBasinsCountry
Þjórsá,['iceland'],RiverBasinsCountry
Ussuri,['russia'],RiverBasinsCountry
Ussuri,['russia'],RiverBasinsCountry
Gauja,['estonia'],RiverBasinsCountry
Gauja,['latvia'],RiverBasinsCountry
Gauja,['estonia'],RiverBasinsCountry
Gauja,['latvia'],RiverBasinsCountry
Zeya river,['russia'],RiverBasinsCountry
Zeya river,['russia'],RiverBasinsCountry
Alazani,['azerbaijan'],RiverBasinsCountry
Alazani,['georgia'],RiverBasinsCountry
Alazani,['azerbaijan'],RiverBasinsCountry
Alazani,['georgia'],RiverBasinsCountry
Hron,['slovakia'],RiverBasinsCountry
Hron,['slovakia'],RiverBasinsCountry
Huai river,"['china', ""people's republic of china""]",RiverBasinsCountry
Huai river,"['china', ""people's republic of china""]",RiverBasinsCountry
Drin,['albania'],RiverBasinsCountry
Drin,['albania'],RiverBasinsCountry
Dâmbovița river,['romania'],RiverBasinsCountry
Dâmbovița river,['romania'],RiverBasinsCountry
Argeș river,['romania'],RiverBasinsCountry
Argeș river,['romania'],RiverBasinsCountry
Lielupe,['lithuania'],RiverBasinsCountry
Lielupe,['latvia'],RiverBasinsCountry
Lielupe,['latvia'],RiverBasinsCountry
San,['poland'],RiverBasinsCountry
San,['ukraine'],RiverBasinsCountry
San,['poland'],RiverBasinsCountry
San,['ukraine'],RiverBasinsCountry
Chenab river,['india'],RiverBasinsCountry
Chenab river,['india'],RiverBasinsCountry
Chenab river,['pakistan'],RiverBasinsCountry
Abakan,['russia'],RiverBasinsCountry
Abakan,['russia'],RiverBasinsCountry
Someș river,['hungary'],RiverBasinsCountry
Someș river,['hungary'],RiverBasinsCountry
Someș river,['romania'],RiverBasinsCountry
Zrmanja,['croatia'],RiverBasinsCountry
Zrmanja,['croatia'],RiverBasinsCountry
Great whale river,['canada'],RiverBasinsCountry
Great whale river,['canada'],RiverBasinsCountry
Kızılırmak river,['turkey'],RiverBasinsCountry
Kızılırmak river,['turkey'],RiverBasinsCountry
Kızılırmak river,['turkey'],RiverBasinsCountry
Kızılırmak river,['turkey'],RiverBasinsCountry
Zangmar river,['iran'],RiverBasinsCountry
Zangmar river,['iran'],RiverBasinsCountry
